Ciy,Postal Code,Country
Paris,75462,Texas
33.68/-95.491,,
Beverly Hills,90210,California
34.09/-118.406,,
Seattle,98104,Washington
47.604/-122.326,,
New York,10001,New York
40.748/-73.997,,
New York,10002,New York
40.715/-73.988,,
New York,10003,New York
40.731/-73.989,,
New York,10004,New York
40.714/-74.006,,
New York,10005,New York
40.706/-74.008,,
New York,10007,New York
40.714/-74.007,,
New York,10010,New York
40.737/-73.981,,
New York,10011,New York
40.74/-74,,
New York,10012,New York
40.726/-73.998,,
New York,10013,New York
40.719/-74.003,,
New York,10014,New York
40.734/-74.005,,
New York,10016,New York
40.744/-73.978,,
New York,10017,New York
40.752/-73.971,,
New York,10018,New York
40.755/-73.993,,
New York,10019,New York
40.765/-73.986,,
New York,10020,New York
40.735/-73.997,,
New York,10021,New York
40.768/-73.959,,
New York,10022,New York
40.757/-73.966,,
New York,10023,New York
40.776/-73.983,,
New York,10024,New York
40.786/-73.976,,
New York,10025,New York
40.797/-73.968,,
New York,10028,New York
40.776/-73.953,,
New York,10036,New York
40.76/-73.992,,
New York,10038,New York
40.71/-74.001,,
New York,10065,New York
40.765/-73.964,,
New York,10128,New York
40.782/-73.951,,
Ardsley,10502,New York
41.011/-73.841,,
Bedford,10506,New York
41.191/-73.636,,
Croton On Hudson,10520,New York
41.218/-73.892,,
Irvington,10533,New York
41.038/-73.86,,
Mount Vernon,10550,New York
40.908/-73.838,,
Mount Vernon,10551,New York
40.913/-73.837,,
Mount Vernon,10552,New York
40.923/-73.83,,
Scarsdale,10583,New York
40.993/-73.799,,
Yorktown Heights,10598,New York
41.3/-73.792,,
White Plains,10601,New York
41.033/-73.765,,
White Plains,10603,New York
41.05/-73.778,,
White Plains,10605,New York
41.014/-73.755,,
Yonkers,10701,New York
40.946/-73.867,,
Yonkers,10704,New York
40.918/-73.859,,
New Rochelle,10801,New York
40.917/-73.788,,
Philadelphia,19147,Pennsylvania
39.936/-75.156,,
Washington,20005,District of Columbia
38.907/-77.031,,
Washington,20007,District of Columbia
38.914/-77.074,,
Washington,20036,District of Columbia
38.909/-77.041,,
Rockville,20850,Maryland
39.087/-77.168,,
Baltimore,21201,Maryland
39.295/-76.625,,
Hagerstown,21740,Maryland
39.632/-77.737,,
Arlington,22201,Virginia
38.887/-77.093,,
Alexandria,22314,Virginia
38.806/-77.053,,
Williamsburg,23185,Virginia
37.273/-76.732,,
Virginia Beach,23451,Virginia
36.858/-76.002,,
Iron Station,28080,North Carolina
35.466/-81.107,,
Lincolnton,28092,North Carolina
35.485/-81.182,,
Charlotte,28262,North Carolina
35.318/-80.748,,
Alpharetta,30004,Georgia
34.112/-84.302,,
Alpharetta,30005,Georgia
34.078/-84.228,,
Conyers,30013,Georgia
33.644/-83.968,,
Alpharetta,30022,Georgia
34.027/-84.242,,
Marietta,30067,Georgia
33.928/-84.473,,
Roswell,30075,Georgia
34.041/-84.386,,
Stone Mountain,30083,Georgia
33.794/-84.202,,
